FE model,accuracies_standard,accuracies_std_standard,ind_accuracies_standard,ind_accuracies_std_standard,accuracies_single,accuracies_std_single,ind_accuracies_single,ind_accuracies_std_single,accuracies_body,accuracies_std_body,ind_accuracies_body,ind_accuracies_std_body,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
resnet34,0.6654556650246305,0.06288031296361599,0.6104002463054188,0.047224989146693944,0.6071428571428572,0.03611966301809926,0.6071428571428572,0.03611966301809926,0.6325738916256158,0.045135131955281134,0.6325738916256158,0.045135131955281134,0.07675492610837438,0.08927770369194965,0.040517241379310356,0.052934051609494666
resnet34_layer1,0.6649322660098522,0.05366601870867082,0.6491133004926108,0.04833573778816277,0.6258620689655172,0.0578520912259883,0.6258620689655172,0.0578520912259883,0.6097290640394089,0.03304080699799926,0.6097290640394089,0.03304080699799926,0.01588669950738918,0.06459873210948212,0.011206896551724155,0.05656333019711355
resnet34_layer2,0.7017857142857142,0.06252550500004142,0.6712007389162562,0.057838844328314286,0.6485221674876847,0.05284621809430941,0.6485221674876847,0.05284621809430941,0.6505233990147784,0.03351118792858246,0.6505233990147784,0.03351118792858246,0.15584975369458126,0.083836585670555,0.1250985221674877,0.08155620787426579
resnet34_layer3,0.6849753694581281,0.0715252233806713,0.6587684729064038,0.048378517889964695,0.6449815270935961,0.061755964958865955,0.6449815270935961,0.061755964958865955,0.6267241379310344,0.042375136503562456,0.6267241379310344,0.042375136503562456,0.11222290640394088,0.08040888218828254,0.08511083743842365,0.06013630025784744
resnet50,0.6886083743842365,0.05622383154555149,0.6432881773399015,0.03978172788142284,0.6167487684729065,0.05136143503786169,0.6167487684729065,0.05136143503786169,0.637807881773399,0.04686891021860823,0.637807881773399,0.04686891021860823,0.11699507389162563,0.09994849616432679,0.07455665024630538,0.07710399644981816
sar_resnet31,0.642487684729064,0.06335288271122377,0.5993349753694581,0.033465939259042794,0.5956896551724139,0.053809913083921204,0.5956896551724139,0.053809913083921204,0.5467672413793103,0.04121856284655887,0.5467672413793103,0.04121856284655887,0.0104987684729064,0.07773011201866199,0.021724137931034476,0.044127428817401095
sar_resnet31_224,0.647814039408867,0.07532923285252878,0.6258435960591132,0.056769452180538534,0.6201046798029558,0.059099099343549344,0.6201046798029558,0.059099099343549344,0.6023706896551724,0.05429872820426324,0.6023706896551724,0.05429872820426324,0.13617610837438426,0.0961008015119479,0.1044150246305419,0.0730154983914427
swin_b,0.7233374384236454,0.058294988980622645,0.6906588669950738,0.04670511948010831,0.6761083743842364,0.07710148942892733,0.6761083743842364,0.07710148942892733,0.6895320197044336,0.02379756827122829,0.6895320197044336,0.02379756827122829,0.06828817733990149,0.07903773080237071,0.04743226600985221,0.06466703239804343
swin_s,0.7295258620689655,0.06225157043488428,0.6873768472906404,0.044620573681008587,0.6877155172413794,0.05533211110131172,0.6877155172413794,0.05533211110131172,0.6619150246305419,0.057710949912280256,0.6619150246305419,0.057710949912280256,0.12127463054187193,0.11564401303638128,0.07214285714285715,0.08409486703798819
trocr-base-handwritten,0.6645628078817734,0.0654635498566679,0.648743842364532,0.05090353931444328,0.6408866995073892,0.06582886716508639,0.6408866995073892,0.06582886716508639,0.6505849753694581,0.046501860087959666,0.6505849753694581,0.046501860087959666,0.05024630541871922,0.08869462061030342,0.04011083743842364,0.05616372660553657
trocr-base-stage1,0.7100369458128079,0.03691855521598983,0.6785837438423645,0.043616777938333046,0.6622229064039409,0.06376103675340954,0.6622229064039409,0.06376103675340954,0.6176416256157635,0.07303153604881953,0.6176416256157635,0.07303153604881953,0.10982142857142856,0.10802189425691981,0.08103448275862069,0.0792342845055262
trocr-large-handwritten,0.7116995073891627,0.048113203970143785,0.6635098522167487,0.047219029319126936,0.6176108374384237,0.06484022310091966,0.6176108374384237,0.06484022310091966,0.6433805418719213,0.04944010918953414,0.6433805418719213,0.04944010918953414,0.08220443349753695,0.08088013753435996,0.058423645320197046,0.05231969183866198
trocr-large-handwritten-inter,0.7525554187192117,0.052081193789116915,0.6938362068965518,0.04200236355624179,0.6690886699507389,0.04821880739292682,0.6690886699507389,0.04821880739292682,0.6716440886699507,0.047755877223884184,0.6716440886699507,0.047755877223884184,0.12866379310344828,0.07710517149559735,0.07931034482758617,0.06287917329393308
